member_ID,Start_Node,End_Node,Governing_Load_Case,P,Mx,My,DC_Ratio
BR0311,P011221,X011220392,0.3 Wind -X + Wind Y,-6540.55776743709,-2158111.63895086,-31193.0294023797,1.45748085040421
BR0312,P021220,X011220392,0.3 Wind -X + Wind Y,-6285.07772319613,-2193134.52552092,-49688.1227395421,0.465749291297085
CO0039,P011222,P021222,0.3 Wind -X + Wind Y,-18306.1435113285,3911560.34166902,-14219332.9841217,0.77388145496206
BE0062,P011222,P011322,0.3 Wind X + Wind -Y,17625.6182375796,0,190123.131573415,0.0174357312748265
BR0319,P011222,X011222420,1.2D+1.6L,-2948.28361617693,-533230.255084318,-21955.9700810638,0.117136204463588
BR0320,P021322,X011222420,1.2D+1.6L,-2672.29016247085,-525550.082925843,-40458.1225432576,0.195261574440207
BR0321,P011222,X011222422,Wind X + 0.3 Wind Y,-22628.3220890652,-286904.777298073,14781.7524239515,0.125137870480898
BR0322,P021223,X011222422,1.2D+1.6L,-4317.11834053923,-425689.151707677,-27846.9231248537,0.163337520517272
BR0323,P011222,X011221407,0.3 Wind -X + Wind Y,-10994.2074295584,-2046783.75762171,17752.8825314949,0.449426676231982
BR0324,P021221,X011221407,0.3 Wind -X + Wind Y,-10776.7421805282,-2059072.94101682,17497.0202120285,1.37718916329938
CO0040,P011223,P021223,0.3 Wind -X + Wind Y,-25400.2181471418,3947688.84396406,-15432702.9744515,0.833012474962403
BE0064,P011223,P011323,0.3 Wind X + Wind -Y,33056.8866685658,0,190123.231078671,0.0274960839796674
BR0331,P011223,X011223435,1.2D+1.6L,-10072.8725156174,-2416893.82052139,-15923.6558311797,0.522091677794348
BR0332,P021323,X011223435,1.2D+1.6L,-9804.43517646915,-2401761.35094491,-47404.8291164677,1.55819548514861
BR0333,P011223,X011222422,Wind -X + 0.3 Wind -Y,-30284.8060508789,-395734.766694089,15609.1010064254,0.16996233860249
BR0334,P021222,X011222422,Wind -X + 0.3 Wind -Y,-30066.1791265083,-363465.970885641,17171.6450588591,0.163039928767187
BR0335,P011223,X011123350,Wind -X + 0.3 Wind Y,-19699.2550973692,-536211.134870095,21691.503081713,0.167279164299061
BR0336,P021123,X011123350,Wind -X + 0.3 Wind Y,-19504.6763537325,-383508.864848051,35359.2936626499,0.136181767020334
BR0337,P011223,X011223441,0.3 Wind X + Wind -Y,-10617.4480788957,17716.6272449341,311769.487536009,0.0950641062119186
BR0338,P011324,X011223441,0.3 Wind -X + Wind Y,14082.961746951,13138.9985585077,305994.869490345,0.0959279062446888
BR0341,P011224,X011224447,Wind -X + 0.3 Wind -Y,-26964.5380660355,-4.72158363824042E-10,73695.6328735038,0.0944879576393775
BR0342,P021223,X011224447,Wind -X + 0.3 Wind -Y,-26860.3168082577,1.89918448018609E-10,73695.6328735037,0.0944879576393776
BR0343,P011224,X011223441,0.3 Wind -X + Wind -Y,18710.8142712766,-3889.14458941862,248796.173858941,0.0952252319633019
BR0344,P011323,X011223441,0.3 Wind X + Wind Y,-8477.00250852724,881.511619070712,279029.915890462,0.0819558562765646
CO0041,P011321,P021321,0.3 Wind X + Wind -Y,-37070.8926562594,-4965538.90703931,15660969.4917607,0.896521368871524
BE0070,P011321,P011322,Wind X + 0.3 Wind Y,-15717.9219244859,0,190123.131573062,0.0219982888161103
BR0353,P011321,X011321463,1.2D+1.6L,-5870.46255921867,-1125647.61666711,-15694.0913450553,0.310601483854971
BR0354,P021322,X011321463,1.2D+1.6L,-5581.69890027733,-1112846.54454938,-41619.725895199,0.323613162736033
BR0355,P011321,X011221405,0.3 Wind -X + Wind Y,-432.504382200007,-2763745.83911135,13876.4807728357,0.564325716205925
