member_ID,start_node,end_node,size,PI,V2I,V3I,TI,M2I,M3I,PJ,V2J,V3J,TJ,M2J,M3J,add_back?
BR0013,P010000,P020001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0014,P020000,P010001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0015,P010001,P020002,HSS152.4X152.4X4.8,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0016,P020001,P010002,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0017,P010002,P020003,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0018,P020002,P010003,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0019,P010003,P020004,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0020,P020003,P010004,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0021,P010004,P020005,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0022,P020004,P010005,HSS139.7X139.7X4.8,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0023,P010005,P020006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0024,P020005,P010006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0025,P020000,P030001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0026,P030000,P020001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0027,P020001,P030002,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0028,P030001,P020002,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0029,P020002,P030003,HSS139.7X139.7X4.8,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0030,P030002,P020003,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0031,P020003,P030004,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0032,P030003,P020004,HSS139.7X139.7X4.8,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0033,P020004,P030005,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0034,P030004,P020005,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0035,P020005,P030006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0036,P030005,P020006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0037,P030000,P040001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0038,P040000,P030001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0039,P030001,P040002,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0040,P040001,P030002,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0041,P030002,P040003,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0042,P040002,P030003,HSS101.6X101.6X4.8,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0043,P030003,P040004,HSS101.6X101.6X4.8,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0044,P040003,P030004,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0045,P030004,P040005,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0046,P040004,P030005,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0047,P030005,P040006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0048,P040005,P030006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0049,P040000,P050001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0050,P050000,P040001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0051,P040001,P050002,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0052,P050001,P040002,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0053,P040002,P050003,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0054,P050002,P040003,HSS139.7X139.7X4.8,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0055,P040003,P050004,HSS127X127X7.9,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0056,P050003,P040004,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0057,P040004,P050005,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0058,P050004,P040005,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0059,P040005,P050006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0060,P050005,P040006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
